index,text,happinness,sadness,Soledad,Ilusión,Ensoñación,Grandiosidad,Orgullo,Irritabilidad,Ansiedad,Ira,Inestabilidad,Idealización,Depresión,Desilusión,Aversión,Inseguridad,Impotencia,Vulnerabilidad,Temor,Obsesión,Compulsión,Prejuicio,Dramatización,valence,arousal,anger,fear,disgust,concreteness,imageability,context availability,valence_mean,valence_sd,arousal_mean,arousal_sd,happiness_mean,happiness_sd,anger_mean,anger_sd,sadness_mean,sadness_sd,fear_mean,fear_sd,disgust_mean,disgust_sd,concreteness_mean,concreteness_sd,imageability_mean,imageability_sd,cont_ava_mean,cont_ava_sd,max_arousal,min_arousal,max_valence,min_valence,arousal_span,valence_span,n_words,CorAro,CorVal,AbsCorAro,AbsCorVal,sigma_aro,sigma_val
0,"¿Quién eres tú, gigante, en cuya frente
se detienen las nieblas apiñadas,
en tanto que a tus plantas, humilladas
rugen las tempestades sordamente?...

Tu fantástica forma sorprendente,
tus crestas a los cielos levantadas,
tus abismos, tus rocas despeñadas,
¿qué misterios encubren a la mente?...

¿Y pretendo tu origen misterioso
penetrar, al través del tiempo inmenso
que miraste pasar?... De luz un rayo

ilumina mi espíritu; y lloroso,
que eres la tumba perdurable pienso
del pueblo antiguo que habitó en Yucayo.

",1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,1.0,1.0,1.0,2.0,2.0,2.0,5.423064516129033,1.2325806451612904,5.394838709677421,1.5490322580645162,2.2819638752052547,1.047050330482665,1.5064466338259441,0.7353683411630599,1.690655172413793,0.7938943375866111,1.8543908045977007,0.8730957573373886,1.4061703239289445,0.6389093238389486,3.9963333333333333,1.5776666666666666,3.989,1.735,4.6615,1.9439999999999997,7.1,3.68,8.29,1.725,3.4199999999999995,6.5649999999999995,44,-0.3245,0.2946,0.3245,0.2946,35.78531160897014,35.97254042778052
1,"Esa inquietud que sin cesar te agita,
ese tormento que te oprime el pecho,
y pone abrojos al mullido lecho,
y tu semblante virginal marchita.

Esa lucha fatal que se concita
del corazón en el recinto estrecho,
y le arranca suspiros al despecho
en continua aflicción y amarga cuita;

ese dulce mirar, tu afecto tierno
que revelan un alma candorosa
que pugna por vencer un mal interno;

esa delicia, en fin, que misteriosa
con las penas se mezcla del infierno;
esa es la llama del amor, hermosa.

",3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,1.0,2.0,1.0,2.0,2.0,2.0,4.962125000000001,1.3014999999999999,5.471375,1.7276250000000002,2.149532520325203,0.9043449880955762,1.834625735912532,0.8660910054308323,2.0270437342304453,0.8894613719178578,1.8964571068124474,0.8892320779871794,1.4338697318007663,0.7477128808820497,3.9806521739130436,1.5738636363636365,4.332083333333333,1.2895833333333335,4.970000000000001,1.7545833333333334,7.1,3.0149999999999997,8.275,1.85,4.085,6.425000000000001,46,-0.1078,0.3372,0.1078,0.3372,37.108670711422015,33.65476916751548
2,"Hay una Alondra en nuestro hermoso valle
que tierno atisba un cazador atento:
Ave divina cuyo dulce acento
al coro manda volador que calle.

Y calla, y se suspende el escuchalle...
que de la Alondra al divinal concento
plega sus alas de placer el viento,
y no hay ave ni flor que no avasalle.

Triunfante su expresión desde su nido
el valle todo con su voz encanta,
y está el amor ante sus pies rendido.

Nada turba el trinar de su garganta,
y si suena en el bosque algún gemido
es de la voz del cazador que canta.

",2,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,1.0,4.0,3.0,4.0,5.840530303030302,1.3584848484848484,5.094545454545455,1.803030303030303,2.608459595959596,1.0091455589762983,1.6217929292929292,0.7448339634775252,1.6483585858585859,0.7021748870640586,1.6523484848484848,0.7556654330671483,1.400392156862745,0.6006473475255083,4.4495588235294115,1.5602941176470588,4.85,1.654,5.075000000000001,1.902,7.7,3.0149999999999997,8.275,2.05,4.6850000000000005,6.2250000000000005,43,0.2788,0.0126,0.2788,0.0126,33.40716862744401,38.29891841144414
3,"Nace fragante, delicada, hermosa,
rica en colores, tímida y galana,
entre perlas que riega la mañana
en verde tallo la encendida rosa.

El aura la acaricia voluptuosa;
en agradarla el colibrí se afana;
y la rosa gentil de la sabana
es el hechizo y la adorada diosa.

Pero si envuelto en polvoroso aliento
con torpe labio y bárbara inclemencia
besa la flor el huracán violento,

entonces mustia, sin color ni esencia
muere infeliz, cual muere en un momento
al contacto del vicio la inocencia.

",2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3.0,1.0,2.0,1.0,2.0,3.0,3.0,5.6626315789473685,1.3123684210526314,5.183026315789474,1.8363815789473683,2.6117275588396276,1.0397851481476916,1.5356314997263272,0.6806820288510568,1.648625478927203,0.740414146939944,1.6767036124794747,0.7364641021131996,1.4985706683695186,0.7645004283653742,4.6019565217391305,1.6009090909090908,4.046818181818182,1.6722727272727271,4.831818181818182,1.7463636363636361,7.6,3.15,8.285,1.5,4.449999999999999,6.785,47,0.0567,-0.356,0.0567,0.356,35.53303820584178,38.82104623458675
4,"No luce el sol en el oriente un día
sin que nazca en mi pecho una esperanza;
mas ese bien de la ilusión no alcanza
a dar consuelo a mi desgracia impía.

El prisma hermoso de la infancia mía
hízome ver la dicha en lontananza,
y soñar ese bien que no se alcanza
y con delirio el corazón ansía.

Pasaron mis risueñas mocedades:
el cabello se encuentra encanecido,
sin fuerza ni vigor mis facultades.

Despierto del letargo en que he dormido;
quiero gozar al fin las realidades,
y encuentro sólo que ilusión ha sido.

",1,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.961363636363636,1.229318181818182,5.36560606060606,1.8725757575757576,2.7947303921568625,1.0275529071311302,1.4842401960784315,0.7152672912016957,1.5682107843137256,0.6828849364834383,1.5630392156862747,0.7098279691894515,1.2074894131881428,0.524744559770337,4.077619047619048,1.6305263157894736,3.911,1.407,5.2284999999999995,1.842,7.35,3.05,8.15,1.45,4.3,6.7,43,0.2958,-0.1383,0.2958,0.1383,35.184631888046475,39.09127556646397
5,"Soñaba yo que por la senda hermosa
de la virtud la humanidad corría,
y el sol de la verdad resplandecía
llenando el orbe de su luz radiosa.

La torpe envidia, la calumnia odiosa
abaten su poder y bastardía;
y a la voz del progreso se veía
la sociedad aparecer dichosa.

Un pueblo sólo es el linaje humano,
triunfa la ilustración, y por su empeño
su templo cierra para siempre Jano...

A tan mágico cuadro y halagüeño,
al arpa de oro le tendí la mano
por cantar tanto bien... ¡mas era un sueño!...

",4,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,3.0,1.0,3.0,1.0,1.0,1.0,5.69736111111111,1.3129166666666665,5.158333333333333,1.8012500000000005,2.6239880952380954,1.0199993181708538,1.603670634920635,0.7876976414853029,1.6026785714285712,0.7819263599863243,1.5796230158730158,0.8037800112462276,1.4618919540229884,0.6712249733415974,4.256617647058824,1.6058823529411765,3.731428571428571,1.5171428571428571,4.618571428571428,2.0,7.24,3.05,8.190000000000001,1.94,4.19,6.250000000000002,47,-0.0925,0.0287,0.0925,0.0287,35.36375164706872,39.059139911534885
6,"Esta hoja arrebatada a una corona
que la fortuna colocó en mi frente
entre el aplauso fácil e indulgente
con el primer ensayo se perdona.

Esta hoja de un laurel que aún me emociona
como en aquella noche, dulcemente
por más que mi razón comprende y siente
que es un laurel que el mérito no abona.

Tú la viste nacer, y dulce y buena
te estremeciste como yo al encanto
que produjo al rodar sobre la escena.

Guárdala y de la ausencia en el quebranto
que te recuerde de mis besos, llena,
al buen amigo que te quiere tanto.

",1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,1.0,1.0,3.0,2.0,2.0,6.090808823529413,1.2842647058823526,5.21125,1.8228676470588236,2.9281862745098035,1.0873260994457947,1.4701715686274512,0.7097970622767406,1.6066911764705882,0.7279207276647879,1.5583823529411769,0.7665391845756453,1.430877192982456,0.7877533179060331,4.159210526315789,1.643684210526316,4.263461538461539,1.4203846153846154,5.383846153846154,1.5280769230769229,7.3325,3.14,8.285,2.6950000000000003,4.192499999999999,5.59,39,0.0659,0.1287,0.0659,0.1287,32.54424581915365,38.03708891156848
7,"Cuando tu broche apenas se entreabría
para aspirar la dicha y el contento,
¿te doblas ya y cansada y sin aliento
te entregas al dolor y a la agonía?

¿No ves acaso, que esa sombra impía
que ennegrece el azul del firmamento
nube es tan sólo que al soplar el viento,
te dejará de nuevo ver el día?

¡Resucita y levántate!... Aún no llega
la hora de que en el fondo de tu broche
des cabida al pesar que te doblega.

Injusto para el sol es tu reproche,
que esa sombra que pasa y que te ciega,
es una sombra, pero aún no es la noche.

",3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3.0,2.0,2.0,1.0,2.0,2.0,1.0,5.105069444444444,1.2589583333333334,5.317361111111111,1.6099305555555556,2.046901709401709,0.9498804194519213,1.5833974358974359,0.7919636910418639,1.8267307692307695,0.8285877777641588,1.6705769230769232,0.8547116627692756,1.3775862068965516,0.7033299446330377,4.308571428571429,1.6520833333333333,4.18,1.886,4.955,2.1100000000000003,7.75,3.5999999999999996,8.115,2.0,4.15,6.115,43,0.0789,0.0384,0.0789,0.0384,34.868268597625296,33.476179044237014
8,"Cuando todo era flores tu camino,
cuando todo era pájaros tu ambiente,
cediendo de tu curso a la pendiente
todo era en ti fugaz y repentino.

Vino el invierno con sus nieblas vino
el hielo que hoy estanca tu corriente,
y en situación tan triste y diferente
ni aún un pálido sol te da el destino.

Y así en la vida el incesante vuelo
mientras que todo es ilusión, avanza
en sólo una hora cuanto mide el cielo.

Y cuando el duelo asoma en lontananza
entonces como tú cambiada en hielo
no puedes reflejar ni al esperanza.

",2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.217714285714286,1.3034285714285716,5.111714285714285,1.7305714285714286,2.345,1.0404604451061616,1.4682894736842105,0.764172135638502,1.6728947368421052,0.8339808410966152,1.7071052631578945,0.8815326180690445,1.3863166144200625,0.7227781843492066,3.9934375000000006,1.6484375,3.966,1.3633333333333335,5.144000000000001,1.9326666666666663,6.83,3.9000000000000004,7.785,2.1,2.9299999999999997,5.6850000000000005,44,0.3045,-0.0646,0.3045,0.0646,33.90727664242769,34.610401097983036
9,"Sonaron las campanas de Dolores,
voz de alarma que el cielo estremecía,
y en medio de la noche surgió el día
de augusta libertad con los fulgores.

Temblaron de pavor los opresores
e Hidalgo audaz al porvenir veía,
y la patria, la patria que gemía,
vió sus espinas convertirse en flores.

¡Benditos los recuerdos venerados
de aquellos que cifraron sus desvelos
en morir por sellar la independencia;

aquellos que vencidos, no humillados,
encontraron el paso hasta los cielos
teniendo por camino su conciencia!

",3,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.303513513513513,1.3714864864864866,5.411013513513514,1.741554054054054,2.3665131578947367,1.0258886860538985,1.6190474828375285,0.7863520522674418,1.7587280701754384,0.7966960543515506,1.785592105263158,0.876772726392831,1.5467226613965743,0.8610214608649241,4.090119047619048,1.72075,3.471,1.6550000000000005,4.7155000000000005,2.016,7.6,3.995,7.437499999999999,1.725,3.6049999999999995,5.712499999999999,42,-0.1877,0.0664,0.1877,0.0664,35.06737549666194,34.37069587158309
