"Word ","guasch_2016 
valence_m × ","guasch_2016 
valence_sd × ","guasch_2016 
arousal_m × ","guasch_2016 
arousal_sd × ","guasch_2016 
concreteness_m × ","guasch_2016 
concreteness_sd × ","guasch_2016 
imageability_m × ","guasch_2016 
imageability_sd × ","guasch_2016 
contextual_availability_m × ","guasch_2016 
contextual_availability_sd × ","guasch_2016 
familiarity_m × ","guasch_2016 
familiarity_sd × "
"abandono","1.09","0.29","7.85","1.42","4.52","1.73","3.70","1.77","3.95","1.76","5.65","1.27"
"abanico","5.64","0.99","3.57","2.02","5.64","1.56","6.86","0.36","4.67","1.93","5.15","2.06"
"abeja","2.90","1.62","7.14","1.61","6.86","0.35","6.77","0.53","5.78","1.88","5.48","2.02"
"abejorro","3.40","1.31","6.95","1.91","6.59","0.80","6.35","1.27","4.96","2.16","4.32","2.03"
"abismo","2.95","1.20","6.55","1.68","3.75","1.59","3.90","2.20","4.35","1.93","4.74","1.94"
"abnegación","3.90","1.80","4.91","1.77","2.18","1.01","1.45","1.34","1.96","1.74","1.77","0.87"
"abogada","5.05","1.15","4.95","1.82","5.57","1.16","5.80","1.58","5.18","2.06","5.61","1.75"
"aborto","2.50","1.50","6.90","1.52","5.75","1.41","3.30","1.56","5.00","1.92","6.14","0.91"
"abrigo","4.40","1.70","3.75","1.65","4.33","1.43","6.96","0.21","6.00","1.60","6.71","0.64"
"abstinente","3.45","1.43","3.64","2.08","4.52","2.06","2.09","1.35","2.74","2.14","3.15","1.81"
"absurdo","4.05","1.17","4.23","1.93","3.23","1.66","1.86","1.42","3.14","1.58","5.64","1.33"
"abuela","8.20","1.06","2.20","1.51","5.86","1.39","6.75","0.64","6.73","0.63","6.67","0.80"
"abuso","1.71","0.85","7.20","1.24","3.60","1.54","3.14","1.65","5.59","1.26","5.40","1.47"
"accidente","1.52","0.68","7.50","1.30","4.20","1.36","5.73","1.28","6.35","1.31","5.90","1.68"
"acción","6.43","1.44","6.95","1.81","2.05","1.36","3.81","1.78","4.45","2.24","6.45","1.39"
"acelerador","5.90","1.21","6.64","1.89","5.86","0.65","4.73","1.98","5.09","2.17","5.86","1.53"
"acento","5.23","1.27","4.77","1.90","3.30","1.56","4.33","2.03","5.50","1.73","5.80","1.58"
"aceptación","8.35","1.14","5.36","2.52","2.95","1.64","3.29","2.10","3.35","1.90","5.85","1.46"
"acera","4.96","0.21","3.90","1.74","6.32","0.99","6.36","0.90","5.77","1.88","6.33","0.73"
"acidez","4.09","1.54","6.14","1.70","4.91","1.76","2.70","1.74","3.91","2.45","4.96","1.94"
"acierto","7.80","1.96","5.45","2.15","4.52","1.78","3.30","1.82","4.83","2.08","6.00","1.34"
"acoso","1.43","0.66","7.95","1.32","3.09","1.48","3.13","1.36","4.18","2.28","5.00","2.05"
"acre","4.91","0.43","3.65","1.84","4.40","2.06","2.10","1.64","1.14","0.47","1.77","1.31"
"activar","5.73","1.03","6.36","1.65","3.87","2.16","3.04","2.23","3.64","2.22","5.15","1.42"
"acto","5.83","1.40","6.19","1.69","3.23","1.69","1.91","1.02","4.40","2.16","5.41","1.53"
"acuerdo","6.57","1.20","4.00","2.22","3.15","1.81","3.32","1.78","4.32","1.67","5.75","1.55"
"ademán","5.10","0.44","3.50","1.82","3.23","1.82","2.85","1.76","1.32","0.78","3.32","1.89"
"adicción","2.61","1.92","6.85","2.08","3.82","1.89","3.86","1.49","4.86","1.81","5.48","1.47"
"adiós","2.21","1.35","4.76","1.97","5.86","1.35","3.73","2.10","6.20","1.15","6.82","0.39"
"admiración","7.50","1.01","5.80","2.46","2.80","1.64","2.43","1.25","5.17","1.90","5.05","2.06"
"admirado","6.95","1.10","6.68","1.89","3.74","1.60","4.17","1.99","4.86","2.19","5.24","1.51"
"adolescente","5.91","1.90","5.64","1.92","6.00","1.14","5.62","1.07","6.32","0.99","6.73","0.88"
"adopción","5.25","1.98","5.48","2.48","4.60","1.54","3.20","1.82","5.70","1.75","5.64","1.62"
"adoración","7.00","1.86","3.14","2.08","2.23","1.27","3.36","1.73","4.61","2.19","4.05","1.86"
"adulterio","3.45","1.85","7.59","1.33","5.27","1.78","4.00","1.90","3.61","2.62","3.95","1.86"
"adversario","4.00","1.35","6.41","1.71","3.85","1.69","3.38","1.50","4.68","2.12","5.10","2.07"
"aeropuerto","6.38","2.10","5.29","2.05","6.55","0.76","6.65","0.81","6.50","0.83","6.18","1.05"
"afortunado","7.45","1.19","5.25","2.29","4.40","1.54","3.50","1.64","4.85","2.06","5.60","1.35"
"agente","4.57","1.40","5.05","1.59","3.80","1.36","5.55","1.50","5.15","2.21","5.43","1.85"
"agobiado","2.24","1.14","7.10","1.51","4.78","1.73","3.96","2.01","5.73","1.52","6.60","0.68"
"agresividad","1.77","1.15","7.15","1.46","4.78","1.78","4.61","2.06","5.04","1.71","5.90","1.51"
"agresivo","2.00","1.22","7.62","1.12","5.09","1.65","4.74","2.07","5.27","1.91","5.65","1.39"
"agricultor","5.57","1.26","3.87","2.01","5.64","1.18","6.05","1.16","5.05","1.77","6.00","1.62"
"aguanieve","5.71","1.38","3.33","1.96","6.30","1.03","5.19","1.75","3.73","1.96","4.70","2.20"
"aguardiente","4.73","1.72","5.25","2.00","6.41","0.80","5.91","1.23","4.33","2.10","4.90","2.02"
"agudo","4.70","1.38","5.14","1.98","3.50","1.77","1.82","1.56","2.85","1.76","5.19","1.66"
"aguijón","2.45","1.50","7.00","1.86","5.82","1.33","5.75","1.52","3.63","2.62","3.67","2.06"
"aguja","4.09","1.59","5.75","1.89","5.77","1.57","6.86","0.35","6.14","1.21","6.00","1.26"
"ahogarse","1.75","1.16","7.90","1.18","5.17","1.97","5.70","1.69","5.41","1.84","4.90","1.22"
"aislamiento","1.82","0.96","4.50","2.48","3.00","1.62","3.13","1.58","3.79","2.17","4.55","1.96"
"ajedrez","4.86","1.46","3.27","1.61","6.18","1.37","6.91","0.29","5.40","1.47","5.20","1.82"
"albergue","5.96","2.12","5.24","2.36","6.05","0.72","5.32","1.39","6.00","1.38","5.00","1.62"
"alcaldesa","4.38","1.65","5.00","1.86","6.38","0.74","3.60","1.98","4.18","1.94","5.64","1.62"
"alfiler","4.27","1.48","4.80","1.99","6.43","0.87","6.90","0.31","4.32","2.25","5.00","1.75"
"alianza","6.83","1.44","4.65","2.64","4.36","1.97","6.05","1.73","4.55","2.20","4.75","2.07"
"aliento","4.65","1.42","3.52","2.04","4.81","1.60","2.50","1.85","5.45","1.67","5.67","1.77"
"alivio","7.59","1.01","1.60","1.14","2.95","1.29","2.85","1.53","5.27","1.88","5.55","1.34"
"alma","6.64","1.65","3.45","2.39","2.38","1.99","2.90","1.80","4.32","1.76","5.70","1.75"
"altercado","2.50","1.50","7.09","1.34","2.90","1.61","3.45","1.82","3.30","2.22","4.39","1.97"
"aluminio","4.32","1.25","3.40","1.96","5.29","1.85","5.14","1.88","4.21","2.26","4.90","1.59"
"alumno","5.42","1.27","4.65","1.46","5.38","1.60","5.95","1.15","6.55","0.86","6.76","0.62"
"amabilidad","7.77","0.97","3.75","2.67","4.05","2.04","2.80","1.64","5.38","1.58","6.50","1.00"
"amado","8.23","0.87","5.59","2.63","3.80","1.58","4.00","1.75","5.30","1.75","5.23","1.95"
"amante","4.95","2.44","6.09","2.31","4.76","1.37","4.10","2.02","4.65","1.82","5.95","1.40"
"amargura","1.96","0.82","7.30","1.38","2.14","0.83","2.52","1.41","3.32","1.96","4.38","1.88"
"ambición","4.50","2.15","5.76","1.73","2.91","1.90","2.00","1.41","3.50","2.01","5.45","1.39"
"ambiente","5.95","1.09","2.65","1.76","2.71","1.42","2.77","1.82","4.91","2.14","5.62","1.28"
"ambulancia","2.65","1.04","6.82","1.14","6.80","0.52","6.85","0.37","6.35","1.27","6.32","0.95"
"ametralladora","2.60","1.79","7.30","1.38","6.55","1.30","6.30","1.08","4.39","2.39","4.57","1.96"
"amiga","8.40","0.94","3.05","2.24","4.10","1.81","5.68","1.13","6.64","1.05","6.71","0.90"
"ampliación","6.39","1.41","3.95","1.86","2.70","1.69","2.30","1.11","3.68","2.12","5.05","1.56"
"amplitud","6.42","1.25","3.86","2.06","3.25","2.12","2.23","1.19","3.55","2.01","5.55","1.61"
"analista","5.07","1.41","4.74","2.20","3.27","1.86","2.29","1.52","2.24","1.61","4.27","1.93"
"analogía","5.00","0.31","3.75","1.77","2.41","1.68","1.90","1.14","1.64","1.33","3.75","1.94"
"análisis","4.14","1.88","6.15","2.32","2.85","2.08","3.25","1.68","4.82","1.99","6.45","1.19"
"anfitrión","6.79","1.41","5.95","2.04","5.55","1.30","4.19","1.57","4.20","2.42","4.71","1.23"
"angustia","1.86","0.83","7.60","2.06","3.27","1.45","2.59","1.33","4.79","1.89","5.26","1.96"
"anillo","6.55","1.18","4.85","2.18","6.14","1.31","6.85","0.67","6.05","1.85","6.38","1.36"
"anorak","4.70","1.78","4.30","1.72","5.90","1.14","6.57","0.81","5.09","2.02","5.10","1.89"
"antecedente","4.10","1.09","5.55","1.32","3.61","1.80","2.26","1.54","3.05","1.65","4.50","1.74"
"anticuario","4.18","1.14","3.00","1.86","5.77","1.41","5.09","1.50","3.50","2.04","3.20","1.88"
"antorcha","5.30","1.17","3.95","2.17","6.70","0.57","6.70","0.57","5.17","2.33","4.48","1.57"
"antropólogo","4.95","0.65","3.75","1.83","6.18","1.53","4.30","1.89","2.17","1.55","3.41","1.79"
"añoranza","2.35","1.30","4.95","2.52","3.00","1.92","1.82","1.40","5.14","2.14","4.18","1.65"
"aparato","4.68","0.78","3.85","1.76","2.25","1.25","4.00","2.37","4.36","2.15","6.05","0.94"
