Word,Few_Raters,Prototypicality_Mean,Prototypicality_SD,Prototypicality_NRaters,Prototypicality_%Raters,Valence_Mean,Valence_SD,Valence_NRaters,Valence_%Raters,Valence_Source,Arousal_Mean,Arousal_SD,Arousal_NRaters,Arousal_%Raters,Arousal_Source,Happiness_Mean,Happiness_SD,Happiness_NRaters,Happiness_%Raters,Happiness_Source,Disgust_Mean,Disgust_SD,Disgust_NRaters,Disgust_%Raters,Disgust_Source,Anger_Mean,Anger_SD,Anger_NRaters,Anger_%Raters,Anger_Source,Fear_Mean,Fear_SD,Fear_NRaters,Fear_%Raters,Fear_Source,Sadness_Mean,Sadness_SD,Sadness_NRaters,Sadness_%Raters,Sadness_Source,AoA_Mean,AoA_SD,AoA_NRaters,AoA_%Raters,AoA_Source,Concreteness_Mean,Concreteness_SD,Concreteness_NRaters,Concreteness_%Raters,Concreteness_Source,Zipf_EsPal,POS,Emotionality,Family,Very_related_emotions,Pure_word,Dominant_emotion,Emotional_exclusivity
abandonado,,2.35,1.27,20,1.00,1.93,1.12,20,1.00,Stadthagen-Gonzalez2017,5.85,1.49,20,1.00,Stadthagen-Gonzalez2017,1.03,0.18,30,#NA,Ferré2017,1.77,1.19,30,#NA,Ferré2017,2.83,1.46,30,#NA,Ferré2017,3.33,1.52,30,#NA,Ferré2017,4.30,0.84,30,#NA,Ferré2017,6.06,1.66,50,#NA,Alonso2015,5.14,1.80,21,1.00,NEW,4.36,ADJECTIVE,3.07,abandonar,2,0,sadness,0.396
abandonarse,,2.00,1.10,21,1.00,1.89,0.88,20,0.95,NEW,5.68,2.54,20,0.95,NEW,1.15,0.37,20,1.00,NEW,2.93,1.27,27,1.00,NEW,2.76,0.89,21,1.00,NEW,3.00,1.56,20,1.00,NEW,4.05,1.23,20,1.00,NEW,7.71,2.03,21,1.00,NEW,3.91,1.80,22,1.00,NEW,2.98,VERB,3.11,abandonar,2,0,sadness,0.326
abandono,,2.38,1.50,21,1.00,2.30,1.22,20,1.00,Stadthagen-Gonzalez2017,7.00,1.81,20,1.00,Stadthagen-Gonzalez2017,1.03,0.18,30,#NA,Hinojosa2016_BRM,2.63,1.38,30,#NA,Hinojosa2016_BRM,3.30,1.42,30,#NA,Hinojosa2016_BRM,3.33,1.40,30,#NA,Hinojosa2016_BRM,4.43,0.94,30,#NA,Hinojosa2016_BRM,7.22,1.94,50,#NA,Alonso2015,4.92,1.53,25,1.00,NEW,4.31,NOUN,2.70,abandonar,3,0,sadness,0.350
abatido,,3.37,1.42,20,0.95,2.77,1.75,26,1.00,NEW,1.72,0.98,26,0.96,NEW,1.10,0.31,20,1.00,NEW,1.60,0.94,20,1.00,NEW,2.90,1.14,21,1.00,NEW,2.81,1.29,22,0.95,NEW,3.85,1.09,21,0.95,NEW,9.67,1.35,21,1.00,NEW,3.86,1.64,22,1.00,NEW,3.59,ADJECTIVE,2.23,abatir,1,1,sadness,0.379
abatimiento,,3.00,1.37,20,0.90,2.80,1.32,20,1.00,Stadthagen-Gonzalez2017,3.80,2.04,20,1.00,Stadthagen-Gonzalez2017,1.20,0.41,20,1.00,Stadthagen-Gonzalez2018,2.22,1.00,20,0.90,Stadthagen-Gonzalez2018,2.21,1.27,20,0.95,Stadthagen-Gonzalez2018,2.58,1.02,20,0.95,Stadthagen-Gonzalez2018,3.47,1.43,20,0.95,Stadthagen-Gonzalez2018,10.02,1.49,50,#NA,Alonso2015,4.09,1.47,23,1.00,NEW,3.28,NOUN,2.20,abatir,1,1,sadness,0.340
abatirse,,2.80,1.40,20,1.00,2.42,1.35,20,0.95,NEW,5.14,2.71,22,1.00,NEW,1.20,0.41,20,1.00,NEW,2.10,1.29,20,1.00,NEW,2.50,1.04,21,0.86,NEW,2.83,1.15,20,0.90,NEW,3.84,0.83,20,0.95,NEW,10.16,1.26,20,0.95,NEW,3.39,1.53,23,1.00,NEW,2.24,VERB,2.58,abatir,1,1,sadness,0.353
abochornado,,3.90,1.37,21,0.95,2.45,1.28,20,1.00,NEW,6.36,2.04,22,1.00,NEW,1.30,0.57,20,1.00,NEW,2.05,1.36,22,0.91,NEW,3.14,1.06,21,1.00,NEW,2.45,1.15,20,1.00,NEW,3.05,1.12,22,0.95,NEW,10.14,1.15,21,1.00,NEW,4.68,1.63,20,0.95,NEW,2.24,ADJECTIVE,2.55,bochorno,2,0,anger,0.264
abochornarse,,3.84,1.54,21,0.90,3.44,2.18,26,0.96,NEW,2.00,1.22,26,0.96,NEW,1.15,0.37,20,1.00,NEW,2.50,1.34,20,0.90,NEW,2.90,1.33,21,0.95,NEW,2.81,1.40,22,0.95,NEW,2.71,1.10,21,0.81,NEW,10.33,1.32,21,1.00,NEW,4.35,1.69,21,0.95,NEW,0.51,VERB,1.56,bochorno,0,0,anger,0.248
abominado,,2.35,1.32,22,0.77,2.77,1.42,20,0.65,NEW,6.30,1.81,22,0.91,NEW,1.27,0.65,20,0.55,NEW,2.53,1.51,20,0.75,NEW,2.30,1.34,21,0.48,NEW,3.14,1.23,20,0.70,NEW,2.83,1.27,20,0.60,NEW,10.74,0.73,21,0.90,NEW,2.93,1.71,22,0.68,NEW,1.81,ADJECTIVE,2.23,abominar,1,1,fear,0.264
abominar,,2.57,1.60,21,0.67,3.00,1.47,20,0.65,NEW,6.22,2.10,22,0.82,NEW,1.50,0.82,20,0.80,NEW,2.80,1.32,22,0.45,NEW,3.00,1.25,21,0.71,NEW,2.82,1.33,20,0.55,NEW,3.27,1.27,22,0.50,NEW,9.95,1.43,23,0.83,NEW,4.56,1.38,25,0.72,NEW,1.81,VERB,2.00,abominar,2,0,sadness,0.211
