en_name,es_name
Anxiety,Ansiedad
Aversion,Aversión
Depression,Depresión
Disappointment,Desilusión
Dramatisation,Dramatización
Illusion,Ilusión
Helplesness,Impotencia
Inestability,Inestabilidad
Insecurity,Inseguridad
Anger,Ira
Obsession,Obsesión
Pride,Orgullo
Prejudice,Prejuicio
Fear (binary),Temor
Vulnerability,Vulnerabilidad
concreteness,concreteness
context availability,context availability
Compulsion,Compulsión
Daydream,Ensoñación
Grandeur,Grandiosidad
Idealization,Idealización
Irritability,Irritabilidad
Solitude,Soledad
anger,anger
arousal,arousal
disgust,disgust
Fear (ordinal),fear
happiness,happinness
imageability,imageability
sadness,sadness
valence,valence
